iter	Passed	Remaining
0	0	69
1	1	64
2	1	62
3	2	56
4	2	55
5	3	54
6	4	53
7	4	52
8	5	51
9	5	51
10	6	50
11	6	49
12	7	49
13	7	48
14	8	48
15	9	49
16	10	48
17	10	48
18	11	48
19	11	47
20	12	46
21	13	46
22	13	45
23	14	44
24	14	44
25	15	43
26	15	42
27	16	42
28	16	41
29	17	40
30	18	40
31	18	39
32	19	38
33	19	38
34	20	37
35	20	37
36	21	36
37	21	35
38	22	35
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	30
45	25	30
46	26	29
47	26	29
48	27	28
49	28	28
50	28	27
51	29	26
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	34	20
63	35	19
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	39	15
72	40	14
73	40	14
74	41	13
75	42	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	9
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	52	3
93	52	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	55	0
