iter	Passed	Remaining
0	145	144970
1	146	72927
2	146	48825
3	147	36792
4	149	29748
5	151	25110
6	153	21730
7	154	19105
8	154	17056
9	155	15405
10	156	14055
11	156	12924
12	157	11980
13	158	11162
14	159	10449
15	159	9822
16	160	9270
17	161	8784
18	164	8509
19	166	8139
20	167	7811
21	168	7485
22	169	7181
23	169	6902
24	170	6646
25	171	6412
26	171	6191
27	172	5985
28	173	5793
29	173	5615
30	174	5448
31	175	5313
32	177	5189
33	177	5053
34	178	4933
35	180	4824
36	180	4705
37	181	4593
38	182	4488
39	182	4387
40	183	4290
41	184	4198
42	184	4112
43	185	4028
44	185	3947
45	186	3868
46	187	3795
47	187	3726
48	188	3664
49	190	3611
50	191	3554
51	192	3500
52	193	3452
53	193	3395
54	195	3356
55	196	3308
56	196	3259
57	197	3209
58	198	3160
59	198	3113
60	199	3070
61	200	3026
62	200	2983
63	201	2941
64	201	2901
65	203	2877
66	204	2854
67	205	2821
68	206	2786
69	207	2758
70	208	2730
71	209	2700
72	210	2673
73	211	2642
74	211	2613
75	212	2583
76	213	2554
77	213	2527
78	214	2502
79	215	2475
80	215	2449
81	216	2422
82	216	2395
83	218	2380
84	219	2364
85	220	2346
86	222	2334
87	223	2313
88	223	2291
89	224	2270
90	225	2249
91	225	2229
92	226	2210
93	227	2191
94	227	2171
95	228	2152
96	229	2133
97	229	2114
98	230	2095
99	231	2084
100	233	2076
101	234	2061
102	235	2050
103	236	2035
104	236	2019
105	237	2003
106	238	1988
107	238	1972
108	239	1957
109	240	1942
110	240	1927
111	241	1912
112	241	1898
113	242	1884
114	243	1870
115	243	1857
116	244	1844
117	245	1834
118	246	1826
119	247	1815
120	248	1804
121	249	1794
122	250	1785
123	252	1783
124	253	1771
125	253	1760
126	254	1747
127	254	1736
128	255	1725
129	256	1715
130	257	1706
131	257	1695
132	258	1684
133	259	1673
134	259	1663
135	261	1658
136	262	1654
137	263	1648
138	265	1645
139	266	1639
140	267	1630
141	267	1619
142	268	1609
143	269	1600
144	269	1591
145	270	1582
146	271	1573
147	271	1564
148	272	1555
149	272	1546
150	273	1538
151	274	1529
152	275	1523
153	277	1523
154	278	1518
155	279	1513
156	280	1507
157	281	1502
158	282	1494
159	283	1486
160	283	1476
161	284	1469
162	284	1461
163	285	1453
164	285	1445
165	286	1438
166	286	1431
167	287	1423
168	288	1416
169	289	1412
170	290	1407
171	291	1401
172	291	1395
173	292	1389
174	293	1383
175	294	1377
176	294	1370
177	295	1363
178	295	1356
179	296	1350
180	296	1343
181	297	1337
182	298	1331
183	299	1326
184	299	1320
185	300	1314
186	301	1308
187	301	1302
188	302	1296
189	302	1290
190	304	1288
191	305	1284
192	306	1279
193	306	1274
194	307	1268
195	307	1263
196	308	1257
197	309	1252
198	309	1246
199	310	1241
200	310	1235
201	311	1230
202	312	1225
203	312	1220
204	313	1215
205	313	1209
206	314	1205
207	315	1200
208	315	1195
209	316	1190
210	316	1185
211	317	1181
212	318	1178
213	320	1176
214	321	1172
215	321	1168
216	322	1163
217	323	1159
218	323	1154
219	324	1151
220	325	1146
221	326	1142
222	326	1138
223	327	1133
224	327	1129
225	328	1124
226	329	1120
227	329	1115
228	330	1113
229	331	1110
230	332	1106
231	332	1102
232	335	1104
233	336	1101
234	337	1098
235	338	1095
236	338	1090
237	339	1086
238	340	1082
239	340	1078
240	341	1074
241	341	1070
242	342	1067
243	343	1063
244	343	1059
245	344	1056
246	345	1052
247	345	1048
248	346	1044
249	346	1040
250	347	1036
251	348	1035
252	349	1033
253	350	1030
254	351	1026
255	352	1024
256	353	1020
257	353	1017
258	354	1014
259	355	1011
260	355	1007
261	356	1004
262	357	1000
263	357	997
264	358	993
265	358	990
266	359	986
267	360	983
268	360	979
269	361	976
270	361	973
271	363	972
272	364	971
273	365	968
274	366	966
275	367	963
276	368	960
277	368	957
278	369	955
279	370	952
280	371	951
281	373	950
282	374	948
283	375	946
284	377	946
285	378	945
286	379	943
287	381	942
288	382	940
289	383	938
290	384	935
291	385	934
292	386	932
293	387	929
294	387	926
295	388	925
296	390	923
297	393	925
298	394	923
299	394	921
300	395	918
301	396	916
302	397	913
303	397	911
304	398	908
305	399	905
306	400	902
307	401	901
308	402	899
309	402	896
310	405	898
311	406	897
312	408	896
313	409	895
314	410	892
315	411	891
316	412	888
317	413	886
318	414	884
319	414	881
320	415	879
321	416	876
322	418	878
323	420	876
324	421	874
325	423	875
326	424	873
327	425	872
328	426	870
329	427	868
330	428	865
331	429	863
332	430	862
333	436	871
334	437	868
335	438	866
336	439	864
337	440	862
338	441	860
339	442	858
340	442	855
341	443	853
342	444	850
343	446	850
344	452	859
345	453	857
346	454	855
347	455	853
348	456	850
349	457	849
350	458	848
351	459	845
352	460	843
353	463	845
354	464	843
355	464	841
356	467	841
357	468	839
358	469	837
359	470	836
360	471	834
361	472	832
362	472	830
363	473	827
364	474	825
365	475	823
366	477	823
367	478	821
368	480	821
369	481	819
370	482	818
371	483	816
372	484	814
373	485	812
374	486	810
375	486	808
376	487	805
377	488	803
378	491	804
379	492	803
380	494	802
381	496	803
382	497	801
383	498	800
384	499	798
385	500	796
386	501	794
387	502	792
388	504	792
389	505	791
390	507	790
391	509	789
392	510	788
393	511	787
394	512	785
395	514	784
396	515	782
397	516	780
398	519	782
399	520	780
400	522	780
401	524	780
402	525	778
403	526	776
404	527	774
405	527	772
406	528	770
407	529	768
408	530	766
409	531	764
410	531	762
411	534	762
412	536	762
413	538	762
414	539	760
415	540	758
416	541	756
417	542	755
418	543	752
419	543	750
420	544	748
421	545	746
422	545	744
423	546	742
424	548	742
425	550	741
426	553	742
427	555	742
428	556	740
429	556	738
430	557	736
431	558	734
432	559	732
433	559	730
434	561	729
435	564	730
436	566	729
437	567	727
438	568	726
439	569	724
440	570	722
441	571	720
442	571	719
